# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	6133
#@/user_id	fuermobai_archlinux_v1.0
a 	啊	c=53 d=2.0754 t=6133
fen bie 	分別	c=1 d=0.0155297 t=6133
fen shou 	分手	c=2 d=1.12124 t=5048
fen xi 	分析	c=3 d=0.738364 t=6133
fen xi tong 	分系統	c=3 d=2.96536 t=2412
fen xi xi tong 	分析系統	c=1 d=1 t=6057
fen xiang 	分享	c=1 d=0.895834 t=6133
feng 	封	c=1 d=1 t=5440
feng guang 	風光	c=1 d=0.379083 t=6133
feng sha 	封殺	c=1 d=0.0134336 t=6133
feng su 	風俗	c=1 d=1 t=2878
feng su 	風速	c=1 d=1 t=2879
feng xiang 	風向	c=1 d=1 t=4909
fu 	符	c=0 d=0.0250324 t=6133
fu ji 	腹肌	c=1 d=0.11475 t=6133
fu jian 	附件	c=2 d=1.00423 t=3426
fu pan 	覆盤	c=2 d=1.99501 t=2516
fu tou bang 	斧頭幫	c=1 d=1 t=2546
fu wu 	服務	c=1 d=1 t=2458
fu yan 	附言	c=1 d=1 t=2764
fu ze 	負責	c=3 d=1.35393 t=4582
fu zhu 	輔助	c=3 d=0.831104 t=6133
gai bian 	改變	c=1 d=1 t=3735
gai cheng 	改成	c=2 d=0.0122161 t=6133
gai suan 	概算	c=1 d=0.366045 t=6133
gan 	幹	c=2 d=0.00543443 t=6133
gan jin 	趕緊	c=1 d=1 t=4600
gan jue 	感覺	c=2 d=0.145809 t=6133
gan lan you 	橄欖油	c=2 d=1.99005 t=2011
gan ma 	幹嘛	c=1 d=1 t=5661
gan qing 	感情	c=1 d=1 t=5047
gan sha 	幹啥	c=5 d=0.22091 t=6133
gan shou 	感受	c=1 d=1.00031 t=4677
gan si 	乾死	c=1 d=1 t=3656
gan xie 	感謝	c=1 d=1 t=2026
gang 	剛	c=6 d=0.733447 t=6133
gang cai 	剛纔	c=1 d=1 t=5226
gang chu lai 	剛出來	c=1 d=1 t=4119
gang guo lai 	剛過來	c=1 d=0.657047 t=6133
gang si 	鋼絲	c=0 d=0.1 t=3352
gang si qiu 	剛死囚	c=1 d=1 t=3351
gang si qiu 	鋼絲球	c=1 d=1 t=3353
gao 	搞	c=1 d=0.100277 t=5630
gao 	高	c=1 d=0.353978 t=6133
gao di 	高低	c=0 d=0.1 t=2458
gao di dian 	高低點	c=1 d=1 t=2459
gao fang 	高仿	c=1 d=1 t=4927
gao jian 	稿件	c=1 d=1 t=4458
gao jing 	告警	c=1 d=0.0612626 t=6133
gao kao 	高考	c=1 d=1 t=5391
gao lao 	高老	c=0 d=0.1 t=3132
gao lao shi 	高老師	c=6 d=2.68155 t=5977
gao lian yi 	搞聯誼	c=1 d=1 t=5631
gao su 	告訴	c=1 d=1 t=4846
gao yao qiu 	高要求	c=1 d=1 t=3940
gao yi dian 	高一點	c=1 d=0.00527381 t=6133
gao zhi 	告之	c=1 d=1 t=4753
gao zhong 	高中	c=1 d=1 t=2148
ge 	個	c=17 d=1.32556 t=6133
ge 	各	c=12 d=2.28951 t=6133
ge 	格	c=0 d=0.000798653 t=6133
ge ci 	歌詞	c=4 d=0.143704 t=6133
ge da 	疙瘩	c=0 d=0.0116484 t=6133
ge da rou 	疙瘩肉	c=1 d=0.117068 t=6133
ge ren 	個人	c=0 d=0.0955997 t=6133
ge ren ci ku 	個人詞庫	c=1 d=0.960789 t=6133
ge shi 	格式	c=1 d=1 t=3374
ge wei 	各位	c=3 d=0.240741 t=6133
ge wei ling dao 	各位領導	c=1 d=1 t=3424
ge xi tong 	個系統	c=1 d=0.00798653 t=6133
ge xi tong 	各系統	c=3 d=0.169995 t=6133
ge xi tong 	格系統	c=1 d=0.00802655 t=6133
ge ye 	各業	c=0 d=0.1 t=4222
ge zi 	各自	c=1 d=1 t=4242
gei 	給	c=20 d=3.73027 t=6133
gen 	跟	c=20 d=1.19265 t=6133
gen ju 	根據	c=2 d=0.0148464 t=6133
gen ta 	跟他	c=1 d=0.0399551 t=6133
gen zong 	跟蹤	c=2 d=1.9802 t=2488
geng 	更	c=3 d=0.0059462 t=6133
geng duo 	更多	c=1 d=1 t=5845
geng xin 	更新	c=0 d=0.187883 t=6133
geng zao 	更早	c=1 d=1 t=4133
gong 	工	c=1 d=1 t=2121
gong cheng 	工程	c=0 d=0.00146987 t=6133
gong cheng bu 	工程部	c=1 d=0.0666232 t=6133
gong cheng ji hua 	工程計劃	c=1 d=0.0147723 t=6133
gong di 	工地	c=1 d=1 t=1906
gong dian 	供電	c=2 d=1.2466 t=2691
gong gong guang bo 	公共廣播	c=1 d=1 t=2445
gong hang 	工行	c=1 d=1 t=3285
gong ju 	工具	c=2 d=1.00527 t=4363
gong neng 	功能	c=10 d=5.30653 t=6133
gong qi jun 	宮崎駿	c=1 d=1 t=3891
gong shi 	共識	c=1 d=0.0065388 t=6133
gong si 	公司	c=0 d=0.0814647 t=6133
gong xi 	恭喜	c=2 d=1.99501 t=3233
gong zi 	工資	c=1 d=0.499074 t=6133
gong zuo 	工作	c=12 d=1.14918 t=6133
gong zuo liang 	工作量	c=1 d=0.161705 t=6133
gou 	狗	c=1 d=1 t=1822
gou ri 	狗日	c=1 d=1 t=3974
gou tong 	溝通	c=0 d=0.00298969 t=6133
gu ding 	固定	c=1 d=1 t=4156
gu ji 	估計	c=3 d=0.272532 t=6133
gu niang 	姑娘	c=2 d=1.00345 t=5692
gu tai 	固態	c=1 d=1 t=4022
gua 	掛	c=1 d=1 t=5006
gua li 	掛曆	c=1 d=1 t=2293
guai shou 	怪獸	c=0 d=0.1 t=4589
guan 	管	c=1 d=0.71177 t=6133
guan 	關	c=0 d=0.1 t=2947
guan bo yuan 	關博遠	c=1 d=1 t=2948
guan dao 	管道	c=1 d=1 t=2908
guan jian 	關鍵	c=0 d=0.00949114 t=6133
guan jian zi 	關鍵字	c=1 d=1 t=3627
guan li 	管理	c=25 d=2.46177 t=6133
guan lian 	關聯	c=1 d=0.00250972 t=6133
guan lian xi tong 	關聯系統	c=3 d=0.077211 t=6133
guan pei 	管培	c=1 d=1 t=2977
guan xi 	關係	c=2 d=1.65377 t=4402
guan yu 	關於	c=1 d=1 t=5470
guan zhu 	關注	c=1 d=0.891366 t=6133
guang biao 	光標	c=1 d=1 t=3526
guang bo 	廣播	c=1 d=0.341714 t=2684
guang fan 	廣泛	c=1 d=1 t=5591
guang jian cha 	光檢查	c=1 d=0.56836 t=6133
guang zhou 	廣州	c=1 d=1 t=3750
gui 	貴	c=1 d=0.579842 t=6133
gui nv 	閨女	c=1 d=1 t=4405
gui tai 	櫃檯	c=0 d=0.1 t=2510
gui yi 	詭異	c=1 d=0.00597601 t=6133
gui ze 	規則	c=0 d=0.1 t=2572
guo 	果	c=2 d=0.802519 t=6133
guo 	過	c=11 d=0.529383 t=6133
guo an jian 	過安檢	c=1 d=1 t=5110
guo dong 	果凍	c=3 d=1.21663 t=3200
guo fen 	過分	c=1 d=0.000606633 t=6133
guo ji 	國際	c=2 d=1.98511 t=5575
guo lai 	過來	c=3 d=0.740818 t=6133
guo min 	過敏	c=2 d=0.842874 t=6133
guo nei 	國內	c=4 d=0.12132 t=6133
guo qi 	國企	c=1 d=1 t=2845
guo qing 	國慶	c=4 d=0.250763 t=6133
guo qu 	過去	c=1 d=1 t=3785
guo wai 	國外	c=1 d=0.451581 t=6133
ha 	哈	c=1 d=1 t=3287
ha dai 	哈代	c=1 d=1 t=3827
ha er 	哈爾	c=4 d=3.49294 t=3888
ha ha 	哈哈	c=2 d=0.593766 t=6133
ha ha ha 	哈哈哈	c=5 d=0.327129 t=6133
ha ha ha ha 	哈哈哈哈	c=1 d=0.00360656 t=6133
ha ha ha ha ha ha 	哈哈哈哈哈哈	c=4 d=0.0261269 t=6133
ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈	c=2 d=0.308819 t=6133
hai 	還	c=19 d=2.4186 t=6133
hai bian 	海邊	c=1 d=1 t=5144
hai bu cuo 	還不錯	c=1 d=0.0175975 t=6133
hai bu ru 	還不如	c=1 d=1 t=5142
hai guan 	海關	c=1 d=1 t=3457
hai gui 	海龜	c=1 d=1 t=5874
hai hao 	還好	c=1 d=1 t=5116
hai nan 	海南	c=1 d=1 t=3520
hai shi 	還是	c=24 d=1.96721 t=6133
hai xiang 	還想	c=1 d=1 t=5175
hai xing 	還行	c=2 d=0.0497871 t=6133
hai yo 	還喲	c=1 d=1 t=3936
hai yong wen 	還擁吻	c=1 d=1 t=5416
hai you 	還有	c=11 d=1.15133 t=6133
hai you ren 	還有人	c=1 d=0.609571 t=6133
hai yuan 	還遠	c=0 d=0.1 t=5710
hai zai 	還在	c=1 d=0.726149 t=6133
hai zen me 	還怎麼	c=1 d=1 t=5566
hang ban 	航班	c=3 d=2.83739 t=2522
hang kong 	航空	c=2 d=1.99005 t=3296
hang ye 	行業	c=1 d=0.489192 t=6133
hang zhan lou 	航站樓	c=1 d=1 t=2612
hao 	好	c=20 d=1.89694 t=6133
hao 	昊	c=3 d=1.98846 t=4504
hao 	號	c=14 d=1.92014 t=6133
hao ba 	好吧	c=3 d=0.215056 t=6133
hao hao 	好好	c=1 d=0.97531 t=6133
hao he 	好喝	c=1 d=1 t=3819
hao ji hui 	好機會	c=1 d=1 t=5154
hao ka 	好卡	c=1 d=1 t=4126
hao ke lian 	好可憐	c=1 d=0.00514361 t=6133
hao le 	好嘞	c=1 d=1 t=5746
hao ma 	好嘛	c=1 d=0.588605 t=6133
hao shuo 	好說	c=1 d=0.00213348 t=6133
hao tou 	好頭	c=1 d=0.324652 t=6133
hao xiao 	好小	c=1 d=1 t=1900
hao yong 	好用	c=1 d=1 t=4143
hao you 	好友	c=1 d=0.000242967 t=6133
hao you qu 	好友去	c=1 d=0.00244185 t=6133
he 	和	c=12 d=0.339956 t=6133
he 	喝	c=1 d=1 t=1824
he dui 	覈對	c=1 d=1 t=4267
he duo 	喝多	c=1 d=0.00390694 t=6133
he fei 	合肥	c=1 d=0.167797 t=6133
he he 	呵呵	c=2 d=0.00432064 t=6133
he ji 	合計	c=1 d=1 t=5730
he nan 	河南	c=1 d=0.32628 t=6133
he shi 	合適	c=2 d=1.99005 t=2890
he zi 	盒子	c=1 d=1 t=4416
he zu 	喝足	c=1 d=1 t=5452
hei 	黑	c=1 d=0.447088 t=6133
hei yu 	黑魚	c=1 d=1 t=5455
hei yu 	黒域	c=3 d=2.96546 t=5462
hen 	很	c=6 d=0.127617 t=6133
hen ai 	很愛	c=1 d=1 t=4849
hen chang jian 	很常見	c=1 d=1 t=3852
hen duo 	很多	c=1 d=1 t=3737
hen guan jian 	很關鍵	c=1 d=0.0875977 t=6133
hen hao 	很好	c=1 d=1 t=2866
hen hao ting 	很好聽	c=1 d=1 t=2042
hen jian qiang 	很堅強	c=1 d=1 t=4813
hen jiu 	很久	c=1 d=1 t=5065
hen ke neng 	很可能	c=1 d=1 t=2814
hen mei 	很美	c=0 d=0.1 t=4074
hen mei hao 	很美好	c=1 d=1 t=2039
hen mei you 	很美有	c=1 d=1 t=4075
hen qing wei 	很輕微	c=1 d=0.00442714 t=6133
hen shang tou 	很上投	c=1 d=1 t=3326
hen shao 	很少	c=1 d=1 t=4762
hen tong 	很痛	c=1 d=1 t=5665
hen xiao 	很小	c=1 d=1 t=3558
hen xu yao 	很需要	c=1 d=1 t=3469
hen you 	很有	c=1 d=0.00236968 t=6133
hen you ming 	很有名	c=1 d=1 t=4055
hen zao 	很早	c=2 d=1.00153 t=4461
hen zhong yao 	很重要	c=1 d=1 t=2128
hong dao 	紅島	c=1 d=1 t=5234
hong shao 	紅燒	c=1 d=0.304221 t=6133
hou 	後	c=10 d=0.789694 t=6133
hou ban ju 	後半句	c=1 d=0.00214418 t=6133
hou duan 	後端	c=2 d=1.79308 t=2666
hou duan shu ju 	後端數據	c=1 d=1 t=2667
hou ji 	後記	c=1 d=1 t=4384
hou jing 	後頸	c=1 d=1 t=1908
hou lai 	後來	c=2 d=1.00051 t=3722
hou tai 	後臺	c=2 d=1.99005 t=5460
hou tian 	後天	c=1 d=1 t=3226
hou xuan 	候選	c=1 d=1 t=3634
hou yan 	後延	c=1 d=1 t=2817
hou yao 	後搖	c=3 d=2.93605 t=3343
hu 	胡	c=0 d=0.1 t=4482
hu jiao zhong xin 	呼叫中心	c=1 d=1 t=5787
hu lao shi 	胡老師	c=5 d=3.36892 t=6035
hu mo 	虎摸	c=1 d=0.00489274 t=6133
hua 	化	c=1 d=1.05434 t=2195
hua 	花	c=0 d=0.0438235 t=6133
hua 	話	c=4 d=0.0792616 t=6133
hua ban 	滑板	c=1 d=1 t=3691
hua guang 	花光	c=1 d=0.496585 t=6133
hua hua zhuang 	化化妝	c=1 d=1 t=2074
hua ji 	滑稽	c=5 d=0.360259 t=6133
hua mian 	畫面	c=1 d=1 t=2129
hua na er 	花哪兒	c=1 d=0.440432 t=6133
hua qian 	花錢	c=1 d=0.466341 t=6133
hua shuo 	話說	c=1 d=1 t=3347
hua ti 	話題	c=2 d=0.00247875 t=6133
hua xing 	滑行	c=1 d=1 t=2510
hua zhuang 	化妝	c=0 d=0.1 t=2073
huai bao 	懷抱	c=1 d=1 t=4129
huan 	換	c=1 d=0.367879 t=6133
huan cun 	緩存	c=1 d=1 t=3620
huan ge 	換個	c=1 d=1 t=1970
huan hu 	歡呼	c=0 d=0.1 t=5083
huan hu que yu 	歡呼確喻	c=1 d=1 t=5084
huan jing 	環境	c=2 d=0.0121345 t=6133
huan yi 	換衣	c=0 d=0.1 t=4282
huan yi ge 	換衣個	c=1 d=1 t=4283
huan ying 	歡迎	c=1 d=1 t=1858
huan yu 	歡愉	c=1 d=1 t=4310
huan yuan 	還願	c=1 d=1 t=5383
huang 	黃	c=1 d=0.307279 t=6133
huang hua 	謊話	c=1 d=1 t=4878
huang pu jiang 	黃浦江	c=1 d=1 t=2163
hui 	回	c=3 d=0.748264 t=6133
hui 	會	c=10 d=0.383753 t=6133
hui bao 	彙報	c=1 d=0.0673626 t=6133
hui bao cai liao 	彙報材料	c=1 d=0.148823 t=6133
hui bao ren 	彙報人	c=1 d=0.00737248 t=6133
hui bao wan bi 	彙報完畢	c=1 d=0.0303487 t=6133
hui da 	回答	c=1 d=1 t=2143
hui fang 	回放	c=1 d=0.563013 t=2630
hui fu 	回覆	c=2 d=0.848264 t=6096
hui jia 	回家	c=4 d=0.292564 t=6133
hui lai 	回來	c=1 d=0.442639 t=6133
hui qu 	回去	c=3 d=0.760317 t=6133
hui se 	灰色	c=1 d=0.410656 t=6133
hui shang 	會上	c=1 d=1 t=5527
hui tou kan 	回頭看	c=7 d=1.72573 t=6133
hui yi 	會議	c=10 d=0.650509 t=6133
hui yi shi 	會議室	c=2 d=1.52994 t=5614
hui ying 	回應	c=1 d=1 t=5346
hui zong 	彙總	c=7 d=0.367712 t=6133
hun 	混	c=1 d=1 t=2848
huo 	活	c=4 d=2.8936 t=5374
huo che 	火車	c=1 d=1 t=5070
huo dong 	活動	c=1 d=1 t=2975
huo guo 	火鍋	c=4 d=0.414854 t=6133
huo huo 	嚯嚯	c=1 d=1 t=3971
huo huo 	霍霍	c=1 d=1 t=3967
huo ku 	貨庫	c=1 d=1 t=5573
huo yun 	貨運	c=3 d=0.194952 t=6133
huo yun qu 	貨運區	c=3 d=2.52068 t=5538
huo yun xie 	火雲邪	c=0 d=0.1 t=2548
huo yun xie shen 	火雲邪神	c=1 d=1 t=2549
huo zai 	火災	c=1 d=0.410656 t=6133
huo zai bao jing 	火災報警	c=2 d=1.96561 t=2655
huo zhe 	或者	c=6 d=0.182051 t=6133
ji 	即	c=1 d=1 t=1846
ji 	及	c=16 d=1.29742 t=6133
ji 	季	c=1 d=1 t=3305
ji 	機	c=0 d=0.1 t=3893
ji ben 	基本	c=1 d=1 t=4742
ji ben cao zuo 	基本操作	c=1 d=1 t=2551
ji chang 	機場	c=8 d=0.152861 t=6133
ji chang an quan 	機場安全	c=1 d=0.120633 t=6133
ji chang an quan yu jing 	機場安全預警	c=1 d=0.814647 t=6133
ji chang jing kong 	機場淨空	c=4 d=1.3376 t=6133
ji chang jing kong gao jing 	機場淨空告警	c=1 d=0.615697 t=6133
ji chang jing kong qing kuang 	機場淨空情況	c=1 d=0.603506 t=6133
ji cheng 	集成	c=0 d=0.0400517 t=6133
ji cheng guan li 	集成管理	c=1 d=1 t=2558
ji cheng ping tai 	集成平臺	c=4 d=2.71773 t=2693
ji chu 	基礎	c=0 d=0.1 t=2322
ji chu zhi cheng xi tong 	基礎支撐系統	c=1 d=1 t=2323
ji ci 	幾次	c=0 d=0.1 t=2776
ji dan 	雞蛋	c=1 d=0.532592 t=6133
ji de 	記得	c=2 d=1.00001 t=5390
ji fang 	機房	c=2 d=0.766813 t=6133
ji fang gong cheng 	機房工程	c=2 d=1.44486 t=2707
ji ge 	幾個	c=1 d=1 t=4914
ji guo lai 	寄過來	c=2 d=1.91851 t=4603
ji hao 	幾號	c=1 d=1 t=5230
ji hu 	幾乎	c=2 d=1.99501 t=2886
ji hua 	計劃	c=5 d=0.608822 t=6133
ji jia 	計價	c=2 d=1.25795 t=5866
ji lu 	記錄	c=0 d=0.0657047 t=6133
ji nan 	濟南	c=2 d=1.19164 t=6133
ji qi ren 	機器人	c=2 d=0.486752 t=6133
ji ran 	既然	c=1 d=1 t=5420
ji ru 	計入	c=1 d=0.0024055 t=6133
ji shi 	即使	c=2 d=1 t=5877
ji shi 	及時	c=0 d=0.00298969 t=6133
ji shi gou tong 	及時溝通	c=1 d=0.0300468 t=6133
ji shu 	技術	c=1 d=0.634448 t=6133
ji suan 	計算	c=1 d=0.600496 t=6133
ji tian 	幾天	c=0 d=0.1 t=4966
ji tuan 	集團	c=0 d=0.1 t=4268
ji tuan ling dao 	集團領導	c=1 d=1 t=4269
ji xian yun dong 	極限運動	c=1 d=1 t=3729
ji xie 	機械	c=0 d=0.0287941 t=6133
ji xie cheng 	機械城	c=1 d=0.289384 t=6133
ji yao 	紀要	c=1 d=1 t=2925
ji ye 	幾頁	c=1 d=1 t=3091
ji yu 	基於	c=10 d=1.8548 t=3646
ji zhu 	記住	c=1 d=0.40657 t=6133
jia 	加	c=1 d=0.0196437 t=6133
jia 	嫁	c=0 d=0.1 t=5692
jia 	家	c=2 d=0.92752 t=6133
jia 	架	c=0 d=0.1 t=3925
jia jia 	家家	c=1 d=0.00704807 t=6133
jia le 	加了	c=1 d=1 t=3931
jia qiang guan li 	加強管理	c=1 d=0.0301974 t=6133
jia ru 	加入	c=1 d=0.00241755 t=6133
jia shang 	加上	c=2 d=0.522046 t=6133
jia you 	加油	c=1 d=0.290835 t=6133
jia zhang ke 	賈樟柯	c=1 d=0.130029 t=6133
jian 	鹼	c=1 d=1 t=4668
jian ban 	減半	c=1 d=1 t=5357
jian bao 	簡報	c=4 d=3.38413 t=3415
jian ce 	檢測	c=4 d=0.680451 t=6133
jian cha 	檢查	c=2 d=1.13431 t=6133
jian cha 	監察	c=1 d=1 t=2283
jian ge 	間隔	c=1 d=0.995012 t=6133
jian guo 	見過	c=1 d=1 t=3688
jian hua 	建華	c=7 d=0.215976 t=6133
jian ji 	剪輯	c=2 d=1.92312 t=2095
jian kong 	監控	c=3 d=2.56365 t=2705
jian kong guan li 	監控管理	c=1 d=1 t=2281
jian kong xi tong 	監控系統	c=0 d=0.0402524 t=6133
jian li 	監理	c=2 d=0.0393604 t=6133
jian mo 	建模	c=1 d=1 t=2555
jian pan 	鍵盤	c=1 d=1 t=3203
jian qiang 	堅強	c=0 d=0.1 t=4812
jian ru 	鍵入	c=1 d=1 t=3615
jian shao 	減少	c=4 d=3.667 t=2677
jian shen 	健身	c=1 d=1 t=3746
jian xiao 	見效	c=0 d=0.000371641 t=6133
jian xiao kuai 	見效快	c=1 d=0.00373504 t=6133
jian yi 	建議	c=4 d=0.130876 t=6133
jian zhi 	簡直	c=2 d=1.66368 t=4973
jian zhi you xiu 	簡直優秀	c=1 d=1 t=3360
jiang 	醬	c=0 d=0.0847894 t=6133
jiang bei 	江北	c=1 d=1 t=5889
jiang dao li 	講道理	c=1 d=1 t=5849
jiang hua 	講話	c=1 d=1 t=5803
jiang jiu 	講究	c=1 d=1 t=4322
jiang pai gu 	醬排骨	c=1 d=0.852144 t=6133
jiang rou 	醬肉	c=1 d=0.847894 t=6133
jiao 	叫	c=4 d=0.810584 t=6133
jiao 	覺	c=1 d=0.0060361 t=6133
jiao dong 	膠東	c=2 d=0.0389686 t=6133
jiao gei 	交給	c=1 d=1 t=5934
jiao hu 	交互	c=0 d=0.00278757 t=6133
jiao huai 	腳踝	c=0 d=0.1 t=3187
jiao huai shang 	腳踝上	c=1 d=1 t=3188
jiao huan 	交換	c=0 d=0.00281559 t=6133
jiao huan ping tai 	交換平臺	c=1 d=0.028297 t=6133
jiao liu 	交流	c=1 d=1 t=4258
jiao liu zhong xin 	交流中心	c=0 d=0.0308819 t=6133
jiao shao 	較少	c=1 d=0.0523397 t=6133
jiao you 	交由	c=1 d=1 t=5549
jiao yu 	教育	c=2 d=0.100761 t=6133
jie 	姐	c=2 d=1.94649 t=5620
jie 	接	c=1 d=0.19398 t=6133
jie 	解	c=0 d=0.000218749 t=6133
jie di 	接地	c=1 d=0.339309 t=2682
jie dian 	節點	c=1 d=0.0154523 t=6133
jie duan 	階段	c=4 d=0.10129 t=6133
jie he 	結合	c=1 d=1 t=2139
jie hun 	結婚	c=3 d=1.00006 t=5198
jie hun zhao 	結婚照	c=1 d=1 t=4037
jie jie 	姐姐	c=2 d=0.0930146 t=6133
jie jiu 	解救	c=1 d=1 t=4079
jie ke 	傑克	c=1 d=1 t=6041
jie kou 	藉口	c=1 d=1 t=4071
jie lun 	結論	c=1 d=0.50409 t=6133
jie ma 	解碼	c=0 d=0.1 t=4748
jie mian 	界面	c=2 d=0.543351 t=6133
jie ri 	節日	c=2 d=1.05739 t=6133
jie shu 	結束	c=1 d=0.00937225 t=6133
jie shuo 	解說	c=1 d=1 t=2201
jie tu 	截圖	c=3 d=1.00113 t=4475
jie wen 	接吻	c=1 d=1 t=1814
jie zhi 	截止	c=0 d=0.000946647 t=6133
jie zhi 	截至	c=1 d=0.00946647 t=6133
jie zhi yu 	截止於	c=2 d=0.0237782 t=6133
jie zou 	節奏	c=2 d=0.0165123 t=6133
jin 	今	c=2 d=1 t=4998
jin 	進	c=3 d=0.0418369 t=6133
jin chang 	進場	c=1 d=1 t=2355
jin cheng 	進程	c=0 d=0.0273898 t=6133
jin du 	進度	c=1 d=1 t=5741
jin e 	金額	c=1 d=1 t=5783
jin jin 	僅僅	c=1 d=1 t=3842
jin niu zuo 	金牛座	c=1 d=1 t=4905
jin qu 	進去	c=0 d=0.000226541 t=6133
jin tian 	今天	c=8 d=0.74149 t=6133
jin wan 	今晚	c=2 d=1.50916 t=4494
jin xian yu 	僅限於	c=1 d=1 t=3645
jin xiu 	進修	c=1 d=1 t=4529
jin yong 	禁用	c=1 d=0.131994 t=6133
jin zhi 	禁止	c=1 d=1 t=3619
jing 	淨	c=0 d=0.0594521 t=6133
jing dian 	經典	c=1 d=0.357007 t=6133
jing fen 	精粉	c=1 d=1 t=6051
jing gao 	警告	c=1 d=1 t=2164
jing kong 	淨空	c=7 d=2.40642 t=2726
jing kong 	驚恐	c=1 d=1 t=2336
jing kong guan li 	淨空管理	c=2 d=1.15961 t=2712
jing kong shu ju 	淨空數據	c=1 d=1 t=2561
jing kong zhang ai wu 	淨空障礙物	c=1 d=1 t=2714
jing li 	精力	c=1 d=1 t=5141
jing qi 	經期	c=2 d=0.0073437 t=6133
jing ren 	驚人	c=1 d=0.242926 t=6133
jing shen 	精神	c=1 d=1 t=4077
jing yan 	經驗	c=2 d=0.386741 t=6133
jing yan 	驚豔	c=1 d=1 t=2091
jing ying jue ce 	經營決策	c=1 d=1 t=6056
jiu 	就	c=42 d=1.99609 t=6133
jiu bu shuo 	就不說	c=1 d=1 t=5447
jiu hao 	就好	c=1 d=1 t=4523
jiu kai shi 	就開始	c=1 d=1 t=3617
jiu ke yi 	就可以	c=1 d=1 t=3067
jiu qian 	九千	c=0 d=0.00992611 t=6133
jiu qian nian 	九千年	c=2 d=0.0997588 t=6133
jiu qu 	就去	c=1 d=1 t=3519
jiu shi 	就是	c=21 d=1.57554 t=6133
jiu shi li liang 	就是力量	c=0 d=0.1 t=1996
jiu shi wan 	九十萬	c=1 d=1 t=5254
jiu wei 	久未	c=1 d=1 t=5102
jiu xiang bu dao 	就想不到	c=1 d=1 t=4355
jiu xing 	就行	c=5 d=1.26664 t=3577
jiu yuan 	救援	c=6 d=0.0759572 t=6133
jiu yuan xian chang 	救援現場	c=1 d=0.763379 t=6133
jiu zhi dao 	就知道	c=1 d=1 t=4643
ju 	句	c=0 d=0.000211225 t=6133
ju 	居	c=1 d=1 t=5586
ju bao 	舉報	c=2 d=1.96561 t=3934
ju jue 	拒絕	c=1 d=0.286505 t=6133
ju li 	距離	c=2 d=0.790571 t=6133
ju ran 	居然	c=1 d=1 t=2205
ju ti 	具體	c=3 d=0.0785469 t=6133
jue ce 	決策	c=2 d=0.83527 t=6133
jue de 	覺得	c=7 d=2.05219 t=5297
jue dui 	絕對	c=1 d=1 t=1958
jue wang 	絕望	c=1 d=1 t=3333
ka shi 	喀什	c=1 d=1 t=5088
kai 	開	c=1 d=1 t=5758
kai bo 	開播	c=1 d=1 t=2177
kai fa 	開發	c=1 d=0.0270518 t=6133
kai hui 	開會	c=2 d=0.697676 t=6133
kai qi 	開啓	c=1 d=1 t=3609
kai shi 	開始	c=3 d=0.132705 t=6133
kai shi yu 	開始於	c=2 d=0.0231685 t=6133
kai tou 	開頭	c=1 d=1 t=4198
kai xin 	開心	c=3 d=0.249075 t=6133
kai zhan 	開展	c=1 d=0.205975 t=6133
kai zhe 	開着	c=1 d=0.348192 t=6133
kan 	看	c=10 d=0.214463 t=6133
kan bu chu lai 	看不出來	c=1 d=1 t=1939
kan dao 	看到	c=0 d=0.1 t=3478
kan dao guo 	看到過	c=1 d=1 t=3359
kan dao tai feng yan 	看到颱風眼	c=1 d=1 t=3479
kan de 	看得	c=1 d=1 t=2188
kan dong 	看懂	c=1 d=1 t=3417
kan ge 	看個	c=2 d=1.51171 t=2100
kan guo 	看過	c=3 d=0.337902 t=6133
kan kan 	看看	c=6 d=0.0584274 t=6133
kan kan zen me yang 	看看怎麼樣	c=1 d=0.321422 t=6133
kan lai 	看來	c=1 d=1 t=4797
kan qing kuang 	看情況	c=1 d=0.0020396 t=6133
kan qiu 	看球	c=1 d=0.494109 t=6133
kan wan hou 	看完後	c=1 d=0.261846 t=6133
kan wan xiao 	看玩笑	c=1 d=1 t=4565
kan wu 	刊物	c=1 d=1 t=3085
kan zhe 	看着	c=2 d=1 t=4712
kao lv 	考慮	c=0 d=0.1 t=5232
kao shang 	考上	c=2 d=1.97045 t=5407
kao shi 	考試	c=1 d=1 t=2962
ke 	可	c=0 d=0.1 t=3324
ke ai 	可愛	c=1 d=1 t=2894
ke hu duan 	客戶端	c=1 d=1 t=2466
ke kao xing 	可靠性	c=1 d=0.0117371 t=6133
ke lian 	可憐	c=0 d=0.000511794 t=6133
ke liu 	客流	c=3 d=2.14864 t=2387
ke liu fen xi 	客流分析	c=1 d=1 t=2257
ke nan 	柯南	c=1 d=1 t=3689
ke pa 	可怕	c=4 d=0.00722464 t=6133
ke shi hua 	可視化	c=5 d=4.1717 t=2557
ke wei hu xing 	可維護性	c=1 d=0.0119145 t=6133
ke xuan 	可選	c=1 d=0.625002 t=6133
ke yi 	可以	c=13 d=0.683137 t=6133
ke yi ke yi 	可以可以	c=4 d=0.891954 t=6133
ke yong xing 	可用性	c=0 d=0.00113334 t=6133
